	THP1_0H	THP1_0H_2	THP1_0H_3	Avg_expression	log2
LOC100506746	144.8062516	169.487335	129.1530002	147.815529	7.207654031
NLGN2	122.336316	141.6740288	179.5145475	147.8416308	7.207908765
ZNF497	136.4840532	133.8515364	173.8285663	148.0547187	7.209986661
RAB39	141.4773723	145.1506921	157.5829059	148.0703234	7.210138711
ADAMTSL5	136.4840532	148.6273553	159.207472	148.1062935	7.210489137
SPIB	165.6117475	139.9356971	138.9003965	148.1492804	7.210907808
ERAP2	172.2695062	105.1690643	167.3303022	148.2562909	7.211949513
NR1I2	153.9606698	162.5340085	128.3407172	148.2784652	7.212165277
NEIL2	161.4506484	162.5340085	121.03017	148.3382756	7.212747093
CNKSR3	152.2962302	154.7115161	138.0881134	148.3652866	7.21300977
CA3	158.9539888	141.6740288	144.5863776	148.4047984	7.213393929
RUFY2	142.3095921	137.3281997	166.5180191	148.7186036	7.216441319
LOC100132356	161.4506484	147.7581895	137.2758304	148.8282228	7.217504325
JAZF1	148.9673508	130.3748731	167.3303022	148.890842	7.218111209
MAP3K10	137.3162731	134.7207022	174.6408494	148.8926082	7.218128323
MSH5-C6orf26	153.9606698	147.7581895	145.3986606	149.0391733	7.219547767
EPB41L3	144.8062516	156.4498477	146.2109436	149.155681	7.220675117
FAM184A	167.2761872	124.2907124	155.9583399	149.1750798	7.220862739
KLC3	132.3229541	177.3098274	138.0881134	149.2402983	7.221493339
PCDHB9	136.4840532	169.487335	142.1495285	149.3736389	7.222781757
GSDMB	132.3229541	149.4965212	166.5180191	149.4458315	7.223478846
DNM1P46	170.6050666	141.6740288	136.4635474	149.5808809	7.224781975
SUMO1P1	155.6251095	141.6740288	151.8969248	149.732021	7.226238972
KLHL29	148.135131	171.2256667	129.9652832	149.7753603	7.226656494
HOMER1	138.9807128	147.7581895	163.2688871	150.0025965	7.228843663
ZNF610	132.3229541	146.0198579	172.2040003	150.1822707	7.2305707
FAM86C2P	144.8062516	152.1040186	154.3337738	150.4146814	7.232801579
SIM1	149.7995706	102.5615668	199.00934	150.4568258	7.233205749
ATAT1	138.1484929	161.6648427	151.8969248	150.5700868	7.234291373
CNPY4	143.1418119	164.2723401	144.5863776	150.6668432	7.235218152
JAG1	126.4974152	164.2723401	161.644321	150.8046921	7.236537507
SLC29A2	147.3029111	135.589868	169.7671512	150.8866435	7.237321293
TEAD3	153.12845	163.4031743	136.4635474	150.9983906	7.238389362
BTD	140.6451524	168.6181692	143.7740946	151.0124721	7.238523896
LOC100506620	156.4573293	165.1415059	131.5898493	151.0628949	7.239005529
ZKSCAN3	158.121769	141.6740288	153.5214908	151.1057629	7.239414873
UFSP2	159.7862087	150.365687	143.7740946	151.3086634	7.241350783
CRYBB1	149.7995706	154.7115161	149.4600757	151.3237208	7.241494345
TTC33	151.4640103	131.2440389	171.3917173	151.3665888	7.241902984
MSC	128.9940747	165.1415059	160.019755	151.3851119	7.242079519
ZFP30	138.9807128	169.487335	146.2109436	151.5596638	7.243742035
LOC149837	155.6251095	127.7673756	171.3917173	151.5947341	7.24407583
PTS	136.4840532	152.1040186	166.5180191	151.7020303	7.245096584
TMEM134	131.4907342	158.1881794	165.7057361	151.7948832	7.24597935
ZNF714	138.9807128	142.5431946	174.6408494	152.0549189	7.248448677
LOC643837	138.9807128	179.9173249	137.2758304	152.057956	7.248477493
LOC100507520	149.7995706	158.1881794	148.6477927	152.2118476	7.249936847
LOC100287063	136.4840532	167.7490034	152.7092078	152.3140882	7.250905579
ANKRD26	178.0950451	92.131577	186.8250947	152.3505722	7.251251109
LOC100289627	141.4773723	157.3190136	158.3951889	152.3971916	7.251692507
LOC100289637	130.6585144	141.6740288	185.2005286	152.5110239	7.252769718
PRR5	161.4506484	132.1132048	164.0811701	152.5483411	7.253122681
SERF1B	162.2828682	159.0573452	136.4635474	152.6012536	7.253623004
SERF1A	162.2828682	159.0573452	136.4635474	152.6012536	7.253623004
HIST2H2BE	143.1418119	154.7115161	160.019755	152.624361	7.253841445
CCDC121	160.6184285	161.6648427	135.6512644	152.6448452	7.25403506
TESK2	148.9673508	157.3190136	151.8969248	152.727763	7.254818531
C14orf129	167.2761872	125.1598782	166.5180191	152.9846948	7.257243517
OAS1	154.7928897	157.3190136	147.0232267	153.0450433	7.25781251
MORC2-AS1	166.4439674	142.5431946	150.2723587	153.0865069	7.258203319
KLF2	165.6117475	160.7956768	133.2144153	153.2072799	7.259341041
LOC100288601	141.4773723	132.9823706	185.2005286	153.2200905	7.259461668
LPO	151.4640103	154.7115161	153.5214908	153.2323391	7.259576994
ZNF34	148.135131	144.2815262	167.3303022	153.2489865	7.259733722
AUH	139.8129326	169.487335	151.0846418	153.4616365	7.261734234
LRRC3	152.2962302	184.263154	124.2793021	153.6128954	7.263155522
TEAD4	156.4573293	171.2256667	133.2144153	153.6324704	7.263339354
CCL28	171.4372864	146.0198579	143.7740946	153.7437463	7.264383918
IGIP	157.2895492	79.09408969	225.0023966	153.7953452	7.264868028
FAM184B	158.9539888	152.9731844	149.4600757	153.7957497	7.264871823
DEFB1	136.4840532	163.4031743	162.456604	154.1146105	7.26785983
