Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
Q9UN67	PCDHB10 UNQ1906/PRO4352	56126
Q12857	NFIA KIAA1439	4774
Q9NPB1	NT5M DNT2	56953
Q6ZVD7	STOX1 C10orf24	219736
Q4VC12	MSS51 ZMYND17	118490
Q9UFH2	DNAH17 DNAHL1 DNEL2	8632
Q2TBC4	PRICKLE4 C6orf49 OEBT	29964
Q14722	KCNAB1 KCNA1B	7881
Q8N9I9	DTX3 RNF154	196403
Q9NRX3	NDUFA4L2	56901
Q99685	MGLL	11343
Q13797	ITGA9	3680
Q8IW19	APLF C2orf13 PALF XIP1	200558
Q6P387	C16orf46	123775
Q4G0N7	FAM229B C6orf225	619208
Q8N2M4	TMEM86A	144110
Q86UP6	CUZD1 UNQ224/PRO257	50624
O75382	TRIM3 BERP RNF22 RNF97	10612
Q6UY11	DLK2 EGFL9 UNQ2903/PRO28633	65989
Q8N5I3	KCNRG CLLD4	283518
B9EJG8	TMEM150C	441027
Q8N350	CBARP C19orf26	255057
P40123	CAP2	10486
Q08380	LGALS3BP M2BP	3959
P10451	SPP1 BNSP OPN PSEC0156	6696
Q01453	PMP22 GAS3	5376
Q9Y2J2	EPB41L3 DAL1 KIAA0987	23136
Q8N5Z0	AADAT KAT2	51166
A7MBM2	DISP2 C15orf36 DISPB KIAA1742 LINC00594	85455
P43354	NR4A2 NOT NURR1 TINUR	4929
Q8IW40	CCDC103	388389
Q9BZM4	ULBP3 N2DL3 RAET1N	79465
Q8TDS5	OXER1 GPR170 TG1019	165140
O15524	SOCS1 SSI1 TIP3	8651
O00622	CCN1 CYR61 GIG1 IGFBP10	3491
Q86SG2	ANKRD23 DARP	200539
O75973	C1QL1 C1QRF CRF CTRP14	10882
Q9BYD5	CNFN	84518
Q8IVF1	NUTM2A FAM22A KIAA2020	728130,728118
Q5TEZ5	C6orf163	206412
Q8NAP1	CASTOR3 GATS STAG3OS	352954
Q13325	IFIT5 ISG58 RI58	24138
Q8NG41	NPB PPL7 PPNPB	256933
P42330	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	8644
Q9UJ14	GGT7 GGTL3 GGTL5	2686
Q8IYG6	LRRC56	115399
P11277	SPTB SPTB1	6710
P00738	HP	3240
P55916	UCP3 SLC25A9	7352
Q9UGQ2	CACFD1 C9orf7 PSEC0107 PSEC0248 UNQ3071/PRO9903	11094
Q9BT88	SYT11 KIAA0080	23208
Q9Y6Q1	CAPN6 CALPM CANPX	827
A4GXA9	EME2	197342
Q8NBT3	TMEM145	284339
O14904	WNT9A WNT14	7483
Q5VTM2	AGAP9 CTGLF6	642517
Q9NSY2	STARD5	80765
O60279	SUSD5 KIAA0527	26032
Q96CP7	TLCD1	116238
P08237	PFKM PFKX	5213
Q9UJU2	LEF1	51176
Q6ZMY9	ZNF517	340385
P16157	ANK1 ANK	286
A6NJB7	PRR19	284338
Q60I27	ALS2CL	259173
Q8NCQ7	PROCA1	147011
O60688	YPEL1 FKSG3	29799
Q5T2N8	ATAD3C	219293
P49638	TTPA TPP1	7274
P18827	SDC1 SDC	6382
P17693	HLA-G HLA-6.0 HLAG	3135
Q9NP98	MYOZ1 MYOZ	58529
Q9HCI5	MAGEE1 HCA1 KIAA1587	57692
Q96JK9	MAML3 KIAA1816	55534
Q6UVY6	MOXD1 MOX UNQ2493/PRO5780	26002
Q9C0H5	ARHGAP39 KIAA1688	80728
Q8TF21	ANKRD24 KIAA1981	170961
O14788	TNFSF11 OPGL RANKL TRANCE	8600
Q86XE0	SNX32 SNX6B	254122
Q96QF7	GCNA ACRC	93953
Q9H4I8	SERHL2 SERHL	253190
Q68D86	CCDC102B C18orf14	79839
Q8TF71	SLC16A10 MCT10 TAT1	117247
Q4G0Z9	MCMDC2 C8orf45	157777
Q8NCQ5	FBXO15 FBX15	201456
Q6H8Q1	ABLIM2 KIAA1808	84448
Q8TDC3	BRSK1 KIAA1811 SAD1 SADB	84446
Q5T2T1	MPP7	143098
Q8IVS8	GLYCTK HBEBP4 LP5910	132158
Q6NSJ0	MYORG KIAA1161	57462
Q00526	CDK3 CDKN3	1018
Q16778	H2BC21 H2BFQ HIST2H2BE	8349
P21554	CNR1 CNR	1268
Q0D2K2	KLHL30	377007
O75096	LRP4 KIAA0816 LRP10 MEGF7	4038
Q9BUN1	MENT C1orf56 UNQ547/PRO1104	54964
Q7Z5Q5	POLN	353497
Q6ZN16	MAP3K15 ASK3	389840
Q5T2S8	ARMC4	55130
Q9H7R5	ZNF665 ZFP160L	79788
O60356	NUPR1 COM1	26471
Q9NZQ9	TMOD4	29765
Q5FWE3	PRRT3 UNQ5823/PRO19642	285368
