	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
4831	6.555703	3.253684	702.8174	732.0949	782.4894	792.0899	503.2168312	8.975036367
84898	691.6266646	689.7810318	408.1843472	382.5721406	419.4788588	429.2295845	503.4787713	8.975787139
54440	95.05769	120.3863	708.8201	663.4923	703.682	729.4422	503.4800983	8.975790942
6397	298.2845	279.8168	614.7777	602.4009	598.1917	627.7173	503.5314833	8.975938175
9704	265.506	289.5779	611.7763	630.9436	625.4951	597.9441	503.5405	8.975964009
8604	524.4562	562.8874	493.723	517.7743	465.3981	457.1419	503.5634833	8.976029857
51460	321.2294	449.0084	577.7609	585.3754	539.8618	548.3222	503.5930167	8.976114467
10524	311.3959	341.6368	611.2761	581.3694	588.2633	588.0197	503.6602	8.976306921
100506461	763.7394	696.2884	390.6764	396.0924	376.0417	399.4564	503.7157833	8.976466127
401548	576.9019	517.3358	466.7108	495.7414	489.5988	478.8515	504.1900333	8.97782379
56130	711.2938	640.9758	394.178	416.6231	421.961	440.3945	504.2377	8.977960177
55669	517.9005	514.0821	498.7252	496.7429	510.0764	488.1556	504.28045	8.978082486
215	78.66844	78.08842	677.3059	721.5791	738.4317	731.9233	504.33281	8.978232274
91947	416.2871	478.2916	526.2377	526.2871	544.2056	536.537	504.6410167	8.979113662
54556	783.4065	719.0642	377.6706	374.0594	394.0371	380.2279	504.7442833	8.979408856
4061	193.3932	224.5042	667.3014	670.5027	645.3521	628.9578	505.0019	8.980145006
54891	596.569	618.2	449.2029	443.6635	459.8134	463.3447	505.13225	8.980517343
11186	65.55703	117.1326	714.3226	719.5761	703.682	713.3151	505.5975717	8.981845724
192683	216.3382	270.0558	680.3072	652.9765	621.7719	592.3616	505.6352	8.981953091
54916	458.8992	442.501	552.7496	512.7668	542.344	525.9923	505.8754833	8.982638512
5565	409.7314364	361.1589365	587.2652251	580.3679463	556.616178	542.1194463	506.2098614	8.983591802
